Seq,StepID,StepGroup,Page,Action,ObjectName,InputValue,StoreAs,AssertType,ExpectedValue,WaitCondition,Timeout,Optional,Retry,Screenshot,SkipIf,Description
1,10,Login,-,callReusable,,flows/login.csv,,,,,300000,FALSE,0,always,,Log in via the shared login flow (identity-provider steps are shared infrastructure - one callReusable)
2,20,OpenProject,ProjectsPage,navigate,,/landingpage/projects,,,,domcontentloaded,60000,FALSE,0,always,,Navigate to the projects landing page
3,30,OpenProject,ProjectsPage,waitForSelector,btn_New_Project,,,,,visible,220000,FALSE,0,always,,Poll for the landing page (app cold-starts slowly and never goes network-idle)
4,40,CreateProject,ProjectsPage,click,btn_New_Project,,,,,,10000,FALSE,0,never,,Open New Project
5,50,ConfigureDesign,ProjectPage,fill,txt_Project_Name,${data.project.ProjectName}_${runId}_${iterationId},,,,,10000,FALSE,0,never,,Project name (made unique per run so re-runs are not rejected as duplicates)
6,60,ConfigureDesign,ProjectPage,select,ddl_Time_Unit,${data.project.TimeUnit},,,,,15000,FALSE,0,always,,Time Unit
7,70,ConfigureDesign,ProjectPage,callCustom,,selectStartDate,,,,,15000,FALSE,0,always,,Pick Start Date in the calendar (shared handler reads project.StartDate; value must be M/d/yyyy or yyyy-MM-dd)
8,80,ConfigureDesign,ProjectPage,select,ddl_Study_Objective,${data.project.StudyObjective},,,,,15000,FALSE,0,always,,Study Objective (Two Arm Superiority)
9,90,ConfigureDesign,ProjectPage,select,ddl_Phase,${data.project.Phase},,,,,15000,TRUE,0,always,,Phase (Optional) - tolerant (Optional): this env moved General fields to Program/Indication; Phase is administrative and does not affect the computed design
10,100,ConfigureDesign,ProjectPage,fill,txt_Target_Population,${data.project.TargetPopulation},,,,,10000,FALSE,0,never,,Target Population
11,110,ConfigureDesign,ProjectPage,fill,txt_Treatment_Arm,${data.project.TreatmentArm},,,,,10000,FALSE,0,never,,Treatment Arm name (Control Arm left at the app default - testdata only overrides the treatment arm)
12,120,ConfigureDesign,ProjectPage,fill,txt_Endpoint_Name,${data.project.EndpointName},,,,,10000,FALSE,0,never,,Endpoint Name
13,130,ConfigureDesign,ProjectPage,select,ddl_Endpoint_Type,${data.project.EndpointType},,,,,15000,FALSE,0,always,,"Endpoint Type is a TABLE-CELL dropdown: open via its value-trigger (role button ""Time to Event"", the fresh-project default) then pick Continuous. GADSD-proven pattern"
14,140,ConfigureDesign,ProjectPage,select,ddl_Larger_Value,${data.project.BetterResponse},,,,,15000,FALSE,0,always,,"Better Response is a TABLE-CELL dropdown: open via its value-trigger (role button ""Larger Value"", the Continuous default) then pick the direction. MUST run after Endpoint Type=Continuous (its options depend on it)"
15,150,ConfigureDesign,ProjectPage,click,btn_Create_Project,,,,,,10000,FALSE,0,never,,Create Project
16,160,ConfigureDesign,ProjectPage,click,btn_Inputs,,,,,,10000,FALSE,0,never,,Open Inputs
17,170,CreateInputSet,InputSetPage,click,btn_New_Input_Set,,,,,,10000,FALSE,0,never,,New Input Set
18,180,CreateInputSet,InputSetPage,fill,txt_collection_Name,${data.inputset.InputSetname},,,,,10000,FALSE,0,never,,Input-set collection name (mapped to the existing InputSetname column - no new column)
19,190,Simulate,DesignPage,click,btn_Design_Compute_or_simulate_a,,,,,,10000,FALSE,0,never,,Open the Design (compute/simulate) card
20,200,ExtractResults,ResultsPage,select,ddl_react_select_input_container,${data.inputset.SelectTest},,,,,15000,FALSE,0,always,,Pick the statistical test from the inputset SelectTest (Difference of Means) - the react-select test card
21,210,ExtractResults,ResultsPage,click,btn_Continue,,,,,,10000,FALSE,0,never,,Continue into the design inputs
22,220,ExtractResults,ResultsPage,select,ddl_Hypothesis,${data.design.hypothesis},,,,,10000,FALSE,0,always,,Hypothesis (Superiority / Noninferiority / Super Superiority) - controls which margin fields render
23,230,ExtractResults,ResultsPage,fill,txt_Allocation_Ratio_nt_nc,${data.design.allocationRatio},,,,,10000,FALSE,0,never,,Allocation Ratio (nt/nc)
24,240,ExtractResults,ResultsPage,check,opt_Computed_Parameter,${data.design.Computed Parameter},,,,visible,10000,FALSE,0,never,,Computed Parameter radio (Sample Size / Power / Type 1 Error / Difference in Means) - greys out the chosen output
