Seq,StepID,StepGroup,Page,Action,ObjectName,InputValue,StoreAs,AssertType,ExpectedValue,WaitCondition,Timeout,Optional,Retry,Screenshot,SkipIf,Description
1,10,Login,-,callReusable,,flows/login.csv,,,,,300000,FALSE,0,always,,"Log in via the shared login flow. Recorded identity-provider steps are intentionally not imported - login is shared, not per-feature"
2,20,OpenProject,ProjectsPage,navigate,,/landingpage/projects,,,,domcontentloaded,60000,FALSE,0,always,,Navigate to app page
3,30,OpenProject,ProjectsPage,waitForSelector,btn_New_Project,,,,,visible,220000,FALSE,0,always,,Wait for the landing page to finish loading. Polls instead of sleeping; the app cold-starts slowly and never goes network-idle
4,40,ConfigureDesign,ProjectsPage,click,btn_Password,,,,,,10000,FALSE,0,never,,click Password
5,50,ConfigureDesign,ProjectsPage,fill,txt_Project_Name,${data.design.Project Name}_${runId}_${iterationId},,,,,10000,FALSE,0,never,,fill Project Name (made unique per run with runId)
6,60,ConfigureDesign,ProjectsPage,select,ddl_Time_Unit,${data.design.Time Unit},,,,,15000,FALSE,0,always,,Select Time Unit. select opens the menu and commits the option itself - works for native and custom dropdowns
7,70,ConfigureDesign,ProjectsPage,callCustom,,selectStartDate,,,,,15000,FALSE,0,always,,Pick the Start Date in the calendar (shared selectStartDate). REVIEW the Start Date value in testdata - dates cannot be inferred reliably from a recording
8,80,ConfigureDesign,ProjectsPage,select,ddl_Study_Objective,${data.design.Study Objective},,,,,15000,FALSE,0,always,,Select Study Objective. select opens the menu and commits the option itself - works for native and custom dropdowns
9,90,ConfigureDesign,ProjectsPage,select,ddl_Phase,${data.design.Phase},,,,,15000,FALSE,0,always,,Select Phase. select opens the menu and commits the option itself - works for native and custom dropdowns
10,100,ConfigureDesign,ProjectsPage,fill,txt_Target_Population,${data.design.Target Population},,,,,10000,FALSE,0,never,,fill Target Population
11,110,ConfigureDesign,ProjectsPage,fill,txt_Treatment_Arm,${data.design.Treatment Arm},,,,,10000,FALSE,0,never,,fill Treatment Arm
12,120,ConfigureDesign,ProjectsPage,fill,txt_Endpoint_Name,${data.design.Endpoint Name},,,,,10000,FALSE,0,never,,fill Endpoint Name
13,130,ConfigureDesign,ProjectsPage,select,ddl_Endpoint_Type,${data.design.Endpoint Type},,,,,15000,FALSE,0,always,,Select Endpoint Type. select opens the menu and commits the option itself - works for native and custom dropdowns
14,140,ConfigureDesign,ProjectsPage,select,ddl_Better_Response,${data.design.Better Response},,,,,15000,FALSE,0,always,,Select Better Response. select opens the menu and commits the option itself - works for native and custom dropdowns
15,150,ConfigureDesign,ProjectsPage,click,btn_Create_Project,,,,,,10000,FALSE,0,never,,click Create Project
16,160,ConfigureDesign,ProjectsPage,click,btn_Inputs,,,,,,10000,FALSE,0,never,,click Inputs
17,170,CreateInputSet,InputSetPage,click,btn_New_Input_Set,,,,,,10000,FALSE,0,never,,click New Input Set
18,180,CreateInputSet,InputSetPage,fill,txt_Name_Input_Set,${data.inputset.Name Input Set},,,,,10000,FALSE,0,never,,fill Name Input Set
19,190,ConfigureDesign,InputSetPage,click,btn_Select_Task,,,,,,10000,FALSE,0,never,,click Select Task
20,200,ConfigureDesign,InputSetPage,select,ddl_Select_Test,${data.design.Select Test},,,,,15000,FALSE,0,always,,Select Select Test. select opens the menu and commits the option itself - works for native and custom dropdowns
21,210,ConfigureDesign,InputSetPage,click,btn_Continue,,,,,,10000,FALSE,0,never,,click Continue
